,庭审程序分类
467,已审理（简易）
468,已审理（简易）
469,已审理（简易）
470,已审理（简易）
471,已审理
472,已审理（简易）
473,已审理（简易）
474,已审理（简易）
475,已审理
476,其他撤诉
477,已审理（简易）
478,已审理（简易）
479,已审理
480,已审理（简易）
481,已审理（简易）
482,已审理
483,已审理（简易）
484,已审理（简易）
485,已审理
486,已审理（简易）
487,已审理
488,已审理（简易）
489,已审理
490,已审理（简易）
491,已审理（简易）
492,已审理
493,已审理（简易）
494,其他/错误
495,已审理（简易）
496,已审理（简易）
497,已审理（简易）
498,已审理（简易）
499,已受理/立案
500,已审理
501,已审理（简易）
502,已审理（简易）
503,已审理（简易）
504,已受理/立案（简易）
505,已审理（简易）
506,已审理（简易）
507,已审理（简易）
508,已审理
509,已审理（简易）
510,已审理
511,已审理（简易）
512,已审理（简易）
513,已审理（简易）
514,已审理（简易）
515,已审理（简易）
516,已审理
517,已审理（简易）
518,已审理（简易）
519,已审理（简易）
520,未交费
521,已审理（简易）
522,已审理
523,已审理（简易）
524,已审理（简易）
525,已受理/立案
526,缺席审判
527,已审理（简易）
528,已审理（简易）
529,已审理（简易）
530,已审理（简易）
531,已审理（简易）
532,已受理/立案
533,已审理（简易）
534,已审理（简易）
535,已审理（简易）
537,已审理（简易）
538,已审理（简易）
539,已审理（简易）
540,已审理（简易）
541,已审理（简易）
542,其他撤诉
543,已审理（简易）
544,已审理（简易）
545,已审理（简易）
546,已审理（简易）
547,已审理（简易）
548,已审理（简易）
549,已受理/立案
550,其他撤诉
551,其他/错误
552,已审理（简易）
553,已审理
554,已审理（简易）
555,已受理/立案（简易）
556,其他撤诉
557,已审理
558,已审理（简易）
559,已审理（简易）
560,其他撤诉
561,其他撤诉
562,已审理（简易）
563,已审理
564,已审理（简易）
565,已审理（简易）
566,已审理
567,已审理（简易）
568,未交费
569,已审理
570,已审理（简易）
571,已受理/立案
572,已审理（简易）
573,已审理
574,已审理（简易）
575,已审理（简易）
576,已审理（简易）
577,已审理（简易）
578,已审理（简易）
579,已审理（简易）
580,已受理/立案
581,其他撤诉
582,已审理（简易）
583,已审理（简易）
584,已审理（简易）
585,已审理
586,已受理/立案
587,已审理
588,已审理（简易）
589,其他撤诉
590,已审理（简易）
591,已审理（简易）
592,已审理（简易）
593,已审理
594,已审理（简易）
595,已审理（简易）
596,未交费
597,已审理（简易）
598,已审理（简易）
599,已审理（简易）
600,已审理（简易）
601,已审理（简易）
602,已审理（简易）
603,不公开
604,已审理
605,已受理/立案
606,已审理（简易）
607,已审理（简易）
608,已审理（简易）
609,已审理
610,已审理（简易）
611,已审理（简易）
612,已审理（简易）
613,已审理（简易）
614,已审理（简易）
615,其他/错误
616,已受理/立案
617,已审理（简易）
618,已审理（简易）
619,已审理
620,已审理（简易）
621,已审理（简易）
622,已审理（简易）
623,已审理（简易）
624,已审理（简易）
625,已审理（简易）
626,已审理（简易）
627,已审理
628,已审理（简易）
629,其他撤诉
630,已审理（简易）
631,已受理/立案
632,已审理（简易）
633,已审理（简易）
634,已审理
635,已审理（简易）
636,已审理（简易）
637,已审理（简易）
638,已审理（简易）
639,已审理
640,已审理（简易）
641,已审理（简易）
642,已受理/立案
643,已审理
644,已审理
645,已审理（简易）
646,已受理/立案
647,已审理（简易）
648,已审理（简易）
649,已审理
650,已受理/立案
651,已受理/立案
652,已审理（简易）
653,未交费
654,已审理（简易）
655,未交费
656,已审理（简易）
657,已审理（简易）
658,已审理（简易）
659,已审理（简易）
660,已审理（简易）
661,已审理（简易）
662,已审理（简易）
663,其他撤诉
664,已审理（简易）
665,已审理（简易）
666,已审理（简易）
667,已审理
668,已审理
669,已审理（简易）
670,已审理（简易）
671,其他/错误
672,已审理（简易）
673,已审理
674,未交费
675,已审理（简易）
676,已审理（简易）
677,已审理（简易）
678,已审理（简易）
679,已审理（简易）
680,已审理（简易）
681,已审理（简易）
682,已审理
683,已审理（简易）
684,已审理（简易）
685,已审理
686,已审理（简易）
687,已审理（简易）
688,已审理（简易）
689,已审理（简易）
690,已受理/立案
691,已审理（简易）
692,已审理（简易）
693,已审理（简易）
694,已审理（简易）
695,其他撤诉
696,已审理（简易）
697,已审理（简易）
698,已审理（简易）
699,已审理
700,已审理
701,已审理
702,已审理
703,已审理（简易）
704,已审理（简易）
705,已受理/立案
706,已审理（简易）
707,已审理（简易）
708,已审理（简易）
709,已审理（简易）
710,已审理（简易）
711,已受理/立案
712,已审理（简易）
713,已审理
714,已受理/立案
715,已审理（简易）
716,已审理（简易）
717,已审理（简易）
718,已受理/立案（简易）
719,其他撤诉
720,已受理/立案
721,已审理
722,已审理（简易）
723,已审理（简易）
724,已审理（简易）
725,已审理（简易）
726,已审理（简易）
727,已审理（简易）
728,已审理（简易）
729,已审理（简易）
730,已受理/立案
731,已审理（简易）
732,已受理/立案
733,已审理
734,已审理
735,已审理（简易）
736,已审理（简易）
737,已审理（简易）
738,已审理（简易）
739,已审理（简易）
740,已审理（简易）
741,已审理
742,已受理/立案
743,已审理（简易）
744,已审理（简易）
745,已审理
746,已受理/立案
747,已审理
748,其他撤诉
749,已审理
750,已审理（简易）
751,已审理（简易）
752,已审理（简易）
753,已审理
754,空白
755,已审理
756,已审理（简易）
757,已审理（简易）
758,已受理/立案
759,已审理（简易）
760,已审理（简易）
761,已审理（简易）
762,已受理/立案
763,其他撤诉
764,已审理（简易）
765,已审理（简易）
766,已审理（简易）
767,已审理（简易）
768,已审理（简易）
769,已审理（简易）
770,已审理（简易）
771,空白
772,其他撤诉
773,已审理（简易）
774,已审理（简易）
775,已审理（简易）
776,已审理（简易）
777,已审理（简易）
778,已审理
779,已受理/立案
780,已审理（简易）
781,其他撤诉
782,其他撤诉
783,已审理（简易）
784,已审理（简易）
785,已审理（简易）
786,已审理（简易）
787,已审理（简易）
788,已审理（简易）
789,已审理（简易）
790,已审理（简易）
791,其他/错误
792,已审理（简易）
793,已审理（简易）
794,已受理/立案
795,已审理
796,其他撤诉
797,已审理（简易）
798,已审理（简易）
799,已审理（简易）
800,未交费
801,已审理
802,已审理（简易）
803,已审理（简易）
804,已审理（简易）
805,已审理（简易）
806,已审理（简易）
807,已审理
808,已审理（简易）
809,已受理/立案
810,已受理/立案
811,已审理（简易）
812,已审理（简易）
813,已审理（简易）
814,已审理（简易）
815,已审理（简易）
816,已审理（简易）
817,已审理（简易）
818,已审理（简易）
819,已审理（简易）
820,已审理（简易）
821,已审理（简易）
822,已审理（简易）
823,已审理（简易）
824,已审理（简易）
825,已审理（简易）
826,已审理（简易）
827,已审理
828,其他撤诉
829,其他/错误
830,已审理（简易）
831,其他/错误
832,已审理（简易）
833,其他撤诉
834,已审理（简易）
835,已审理（简易）
836,已审理
837,已审理（简易）
838,已审理（简易）
839,已审理
840,已审理（简易）
841,已审理
842,已审理（简易）
843,已审理（简易）
844,已审理（简易）
845,已审理（简易）
846,已审理（简易）
847,已受理/立案
848,已审理（简易）
849,已审理（简易）
850,已审理（简易）
851,已审理（简易）
852,已审理（简易）
853,已审理（简易）
854,已审理（简易）
855,已审理（简易）
856,已审理
857,已审理（简易）
858,已审理（简易）
859,已审理（简易）
860,已审理（简易）
861,已审理（简易）
862,已审理（简易）
863,已审理（简易）
864,其他撤诉
865,要求再审
866,已审理（简易）
867,已审理（简易）
868,已审理（简易）
869,已审理（简易）
870,已审理（简易）
871,已审理（简易）
872,已审理
873,已审理（简易）
874,已审理（简易）
875,已审理（简易）
876,已审理
877,已审理（简易）
878,已审理（简易）
879,已审理（简易）
880,已审理（简易）
881,已审理（简易）
882,已审理（简易）
883,已审理（简易）
884,已受理/立案
885,已审理（简易）
886,已受理/立案
887,已审理（简易）
888,已审理（简易）
889,已审理（简易）
890,已审理（简易）
891,已审理（简易）
892,其他撤诉
893,已审理（简易）
894,已审理（简易）
895,已审理（简易）
896,已审理（简易）
897,已审理（简易）
898,未交费
899,已审理（简易）
900,已受理/立案（简易）
901,已审理（简易）
902,已审理
903,已审理（简易）
904,已审理（简易）
905,已受理/立案
906,已审理
907,其他撤诉
908,其他撤诉
909,已审理（简易）
910,已审理（简易）
911,已审理（简易）
912,已审理
913,申请财产保全
914,已审理（简易）
915,不公开
916,已受理/立案
917,未交费
918,已审理（简易）
919,已审理（简易）
920,不公开
921,已审理（简易）
922,空白
923,已受理/立案（简易）
924,已受理/立案
925,已审理（简易）
926,已审理（简易）
927,已审理（简易）
928,已审理（简易）
929,已受理/立案（简易）
930,已审理（简易）
931,已审理（简易）
932,已审理（简易）
933,已审理（简易）
934,已审理（简易）
935,已审理（简易）
936,已审理（简易）
937,其他/错误
938,已审理（简易）
939,已审理（简易）
940,已审理
941,已审理（简易）
942,已审理（简易）
943,已审理（简易）
944,已审理（简易）
945,已审理（简易）
946,其他撤诉
947,已受理/立案
948,已受理/立案
949,已受理/立案
950,其他撤诉
951,已审理
952,已审理（简易）
953,已审理（简易）
954,已受理/立案
955,已受理/立案
956,已审理（简易）
957,未交费
958,已审理（简易）
959,已受理/立案
960,已受理/立案
961,已审理（简易）
962,已受理/立案
963,已审理（简易）
964,已审理（简易）
965,未交费
966,已审理（简易）
967,已审理（简易）
968,其他撤诉
969,已审理
970,已审理（简易）
971,已审理（简易）
972,已审理（简易）
973,已审理（简易）
974,已审理（简易）
975,已审理（简易）
976,已审理
977,已审理（简易）
978,已审理（简易）
979,已审理（简易）
980,未交费
981,已审理（简易）
982,已审理
983,已审理（简易）
984,已审理（简易）
985,其他撤诉
986,已审理
987,已审理
988,其他/错误
989,已审理（简易）
990,已审理（简易）
991,已受理/立案
992,已审理（简易）
993,已审理（简易）
994,其他撤诉
995,已审理
996,已审理（简易）
997,已审理（简易）
998,已审理
999,已审理
1000,已审理
1001,其他撤诉
1002,其他撤诉
1003,已审理（简易）
1004,已受理/立案
1005,已审理
1006,已审理（简易）
1007,已审理（简易）
1008,已审理（简易）
1009,已审理（简易）
1010,已审理（简易）
1011,其他/错误
1012,已审理（简易）
1013,已审理（简易）
1014,未交费
1015,其他/错误
1016,已审理（简易）
1017,已审理（简易）
1018,已审理（简易）
1019,已审理（简易）
1020,已审理
1021,已审理（简易）
1022,已受理/立案
1023,已审理（简易）
1024,已审理（简易）
1025,其他撤诉
1026,已审理
1027,已审理（简易）
1028,已审理（简易）
1029,其他撤诉
1030,已审理（简易）
1031,已受理/立案
1033,已审理
1034,已审理（简易）
1035,已审理
1036,已审理（简易）
1037,已审理（简易）
1038,已审理（简易）
1039,已审理
1040,已审理
1041,已审理
1042,已审理（简易）
1043,已受理/立案
1044,已受理/立案
1045,已受理/立案
1046,已审理（简易）
1047,已审理（简易）
1048,已审理
1049,已审理（简易）
1050,已审理
1051,已审理
1052,已审理（简易）
1053,已审理（简易）
1054,已审理（简易）
1055,已审理
1056,已审理（简易）
1057,已审理（简易）
1058,已审理（简易）
1059,已审理（简易）
1060,已受理/立案
1061,已审理（简易）
1062,已审理（简易）
1063,未交费
1064,已审理（简易）
1065,其他/错误
1066,已审理（简易）
1067,已受理/立案
1068,已审理（简易）
1069,已审理（简易）
1070,已审理（简易）
1071,已审理（简易）
1072,已审理（简易）
1073,已受理/立案
1074,已审理
1075,已审理（简易）
1076,已审理（简易）
1077,已审理（简易）
1078,已审理（简易）
1079,已审理
1080,已审理
1081,已审理（简易）
1082,已受理/立案
1083,已审理（简易）
1084,已审理（简易）
1085,其他撤诉
1086,已审理（简易）
1087,已审理（简易）
1088,已审理
1089,已审理（简易）
1090,已审理（简易）
1091,已审理
1092,已审理（简易）
1093,已审理（简易）
1094,不公开
1095,已审理
1096,已审理
1097,已审理（简易）
1098,已审理（简易）
1099,已审理（简易）
1100,已审理（简易）
1101,已审理（简易）
1102,已审理（简易）
1103,已受理/立案
1104,已审理
1105,已审理（简易）
1106,已审理（简易）
1107,已审理（简易）
1108,已审理（简易）
1109,已审理（简易）
1110,其他撤诉
1111,已审理（简易）
1112,已审理（简易）
1113,已审理（简易）
1114,已审理
1115,已审理（简易）
1116,已审理（简易）
1117,已审理
1118,已审理（简易）
1119,已审理（简易）
1120,已审理（简易）
1121,已审理
1122,已受理/立案
1123,已审理（简易）
1124,已审理（简易）
1125,已审理（简易）
1126,已审理（简易）
1127,已审理（简易）
1128,已审理（简易）
1129,已受理/立案
1130,已审理
1131,已审理（简易）
1132,未交费
1133,已审理（简易）
1134,已审理（简易）
1135,已审理
1136,已审理（简易）
1137,已审理
1138,已审理（简易）
1139,已审理（简易）
1140,已审理（简易）
1141,已审理（简易）
1142,已审理
1143,已审理（简易）
1144,已审理（简易）
1145,已受理/立案
1146,已审理（简易）
1147,已审理（简易）
1148,其他撤诉
1149,已审理（简易）
1150,已审理（简易）
1151,已审理
1152,已审理（简易）
1153,已审理（简易）
1154,已审理（简易）
1155,已审理（简易）
1156,已审理
1157,已审理（简易）
1158,其他撤诉
1159,已审理（简易）
1160,已审理（简易）
1161,已审理（简易）
1162,已审理（简易）
1163,已审理（简易）
1164,已审理（简易）
1165,已审理（简易）
1166,已审理（简易）
1167,已审理（简易）
1168,已审理（简易）
1169,已审理（简易）
1170,其他撤诉
1171,已受理/立案
1172,已审理（简易）
1173,已审理（简易）
1174,已受理/立案
1175,已受理/立案
1176,已审理（简易）
1177,已受理/立案
1178,已受理/立案
1179,已审理（简易）
1180,已审理（简易）
1181,已审理（简易）
1182,已受理/立案
1183,已审理（简易）
1184,已审理（简易）
1185,已审理
1186,已审理（简易）
1187,其他撤诉
1188,未交费
1189,已受理/立案
1190,已审理（简易）
1191,已审理（简易）
1192,已审理（简易）
1193,已审理（简易）
1194,其他撤诉
1195,已审理
1196,已审理（简易）
1197,已审理（简易）
1198,其他撤诉
1199,已审理
1200,已审理（简易）
1201,已审理
1202,已审理（简易）
1203,申请财产保全
1204,已审理（简易）
1205,其他撤诉
1206,空白
1207,已审理（简易）
1208,已审理（简易）
1209,已受理/立案
1210,已审理
1211,已审理
1212,已审理（简易）
1213,已审理（简易）
1214,已审理（简易）
1215,已受理/立案
1216,已审理（简易）
1217,已审理（简易）
1218,已审理
1219,已审理（简易）
1220,已审理（简易）
1221,已审理（简易）
1222,已审理（简易）
1223,其他撤诉
1224,已审理（简易）
1225,其他撤诉
1226,已审理（简易）
1227,已审理
1228,已审理
1229,已审理（简易）
1230,已审理（简易）
1231,其他/错误
1232,已审理（简易）
1233,已审理（简易）
1234,已审理（简易）
1235,已审理（简易）
1236,已审理（简易）
1237,已审理（简易）
1238,已审理（简易）
1239,已受理/立案
1240,未交费
1241,已审理（简易）
1242,已审理（简易）
1243,已受理/立案
1244,已审理（简易）
1245,已审理（简易）
1246,其他撤诉
1247,已审理（简易）
1248,已审理（简易）
1249,已审理（简易）
1250,已审理（简易）
1251,已审理（简易）
1252,未交费
1253,已审理（简易）
1254,已审理
1255,已审理（简易）
1256,已受理/立案
1257,已审理（简易）
1258,已审理（简易）
1259,已审理（简易）
1260,已受理/立案
1261,已审理（简易）
1262,已审理（简易）
1263,已审理
1264,已审理（简易）
1265,已审理（简易）
1266,已受理/立案
1267,未交费
1268,已审理（简易）
1269,已审理（简易）
1270,已审理（简易）
1271,已审理（简易）
1272,已审理（简易）
1273,已审理（简易）
1274,未交费
1275,已审理（简易）
1276,已审理（简易）
1277,已审理（简易）
1278,已审理（简易）
1279,已审理（简易）
1280,其他撤诉
1281,其他撤诉
1282,已审理（简易）
1283,已审理（简易）
1284,已审理（简易）
1285,已审理（简易）
1286,已审理（简易）
1287,已审理（简易）
1288,已审理（简易）
1289,未交费
1290,已审理（简易）
1291,已审理（简易）
1292,已审理（简易）
1293,已审理（简易）
1294,已审理（简易）
1295,已受理/立案
1296,已审理
1297,已审理（简易转普通）
1298,已审理（简易）
1299,空白
1300,已审理（简易）
1301,已审理（简易）
1302,已审理（简易）
1303,已审理（简易）
1304,已审理（简易）
1305,已审理
1306,已审理（简易）
1307,已审理
1308,已受理/立案
1309,已审理（简易）
1310,已审理（简易）
1311,已审理（简易）
1312,已审理（简易）
1313,已审理（简易）
1314,已审理（简易）
1315,已审理（简易）
1316,已审理（简易）
1317,已审理（简易）
1318,已审理（简易）
1319,已审理（简易）
1320,已审理（简易）
1321,其他撤诉
1322,已审理（简易）
1323,已审理（简易）
1324,已审理
1325,其他撤诉
1326,已审理（简易）
1327,已审理（简易）
1328,已审理（简易）
1329,已审理
1330,已受理/立案
1331,已审理
1332,已审理
1333,已审理
1334,已审理（简易）
1335,已审理（简易）
1336,已审理（简易）
1337,已审理（简易）
1338,已审理（简易）
1339,已受理/立案
1340,已审理（简易）
1341,已受理/立案
1342,已审理（简易）
1343,已审理
1344,已审理（简易）
1345,已审理（简易）
1346,已审理
1347,已审理（简易）
1348,已审理（简易）
1349,空白
1350,已审理（简易）
1351,已审理（简易）
1352,已审理（简易）
1353,已审理（简易）
1354,已审理（简易）
1355,已审理（简易）
1356,已受理/立案
1357,已审理（简易）
1358,不公开
1359,已受理/立案
1360,已审理
1361,已审理（简易）
1362,已审理（简易）
1363,其他/错误
1364,已审理（简易）
1365,已审理（简易）
1366,已审理（简易）
1367,已审理（简易）
1368,已受理/立案
1369,已受理/立案
1370,已审理（简易）
1371,已审理（简易）
1372,未交费
1373,已受理/立案
1374,已受理/立案
1375,已审理（简易）
1376,已审理（简易）
1377,已审理（简易）
1378,已审理（简易）
1379,已受理/立案
1380,已审理
1381,已审理（简易）
1382,已审理（简易）
1383,已审理（简易）
1384,已审理（简易）
1385,已审理（简易）
1386,已审理
1387,已审理（简易）
1388,已审理（简易）
1389,已审理
1390,已受理/立案
1391,已审理（简易）
1392,已审理（简易）
1393,已审理（简易）
1394,已审理（简易）
1395,已审理（简易）
1396,已审理（简易）
1397,已受理/立案
1398,其他撤诉
1399,已审理（简易）
1400,已审理
1401,已受理/立案
1402,已审理（简易）
1403,已审理
1404,已审理（简易）
1405,已审理（简易）
1406,已审理（简易）
1407,已受理/立案
1408,已审理（简易）
1409,其他撤诉
1410,其他撤诉
1411,已审理（简易）
1412,已审理（简易）
1413,已审理（简易）
1414,已审理（简易）
1415,已审理（简易）
1416,已审理（简易）
1417,已审理（简易）
1418,已审理
1419,已审理（简易）
1420,已审理（简易）
1421,已审理（简易）
1422,已受理/立案
1423,已审理（简易）
1424,已审理
1425,其他撤诉
1426,已审理
1427,已受理/立案
1428,已受理/立案
1429,已审理（简易）
1430,已审理（简易）
1431,已审理（简易）
1432,已审理（简易）
1433,已审理
1434,已审理（简易）
1435,已审理（简易）
1436,已审理（简易）
1437,已审理（简易）
1438,已审理
1439,已受理/立案（简易）
1440,已审理（简易）
1441,已审理
1442,已审理（简易）
1443,已审理（简易）
1444,已审理
1445,已审理（简易）
1446,已审理（简易）
1447,已审理（简易）
1448,已审理（简易）
1449,已审理（简易）
1450,已受理/立案
1451,已审理（简易）
1452,已审理
1453,已审理（简易）
1454,已审理
1455,已审理
1456,已审理（简易）
1457,已受理/立案
1458,已审理（简易）
1459,已审理（简易）
1460,其他/错误
1461,已审理（简易）
1462,空白
1463,空白
1464,已审理
1465,已审理
1466,已审理（简易）
1467,已审理（简易）
1468,已审理（简易）
1469,已审理（简易）
1470,已审理（简易）
1471,已审理
1472,已审理（简易）
1473,已审理（简易）
1474,已审理（简易）
1475,已审理（简易）
1476,已审理（简易）
1477,已审理（简易）
1478,已审理（简易）
1479,已审理（简易）
1480,不公开
