index,tag1,tag2,tag3,tag4,tag5,article
45,,,,,,½ûÖ¹ÈÎºÎµ¥Î»¡¢¸öÈËÔÚ³ÇÊÐÊÐÇøÔëÉùÃô¸Ð½¨ÉèÎï¼¯ÖÐÇøÓòÄÚÊ¹ÓÃ¸ßÒô¹ã²¥À®°È¡£ÔÚ³ÇÊÐÊÐÇø½ÖµÀ¡¢¹ã³¡¡¢¹«Ô°µÈ¹«¹²³¡Ëù×éÖ¯ÓéÀÖ¡¢¼¯»áµÈ»î¶¯£¬Ê¹ÓÃÒôÏìÆ÷²Ä¿ÉÄÜ²úÉú¸ÉÈÅÖÜÎ§Éú»î»·¾³µÄ¹ý´óÒôÁ¿µÄ£¬±ØÐë×ñÊØµ±µØ¹«°²»ú¹ØµÄ¹æ¶¨¡£
46,,,,,,Ê¹ÓÃ¼ÒÓÃµçÆ÷¡¢ÀÖÆ÷»òÕß½øÐÐÆäËû¼ÒÍ¥ÊÒÄÚÓéÀÖ»î¶¯Ê±£¬Ó¦µ±¿ØÖÆÒôÁ¿»òÕß²ÉÈ¡ÆäËûÓÐÐ§´ëÊ©£¬±ÜÃâ¶ÔÖÜÎ§¾ÓÃñÔì³É»·¾³ÔëÉùÎÛÈ¾¡£
47,,,,,,ÔÚÒÑ¿¢¹¤½»¸¶Ê¹ÓÃµÄ×¡Õ¬Â¥½øÐÐÊÒÄÚ×°ÐÞ»î¶¯£¬Ó¦µ±ÏÞÖÆ×÷ÒµÊ±¼ä£¬²¢²ÉÈ¡ÆäËûÓÐÐ§´ëÊ©£¬ÒÔ¼õÇá¡¢±ÜÃâ¶ÔÖÜÎ§¾ÓÃñÔì³É»·¾³ÔëÉùÎÛÈ¾¡£
48,µÚÆßÕÂ,,,,,Î¥·´±¾·¨µÚÊ®ËÄÌõµÄ¹æ¶¨£¬½¨ÉèÏîÄ¿ÖÐÐèÒªÅäÌ×½¨ÉèµÄ»·¾³ÔëÉùÎÛÈ¾·ÀÖÎÉèÊ©Ã»ÓÐ½¨³É»òÕßÃ»ÓÐ´ïµ½¹ú¼Ò¹æ¶¨µÄÒªÇó£¬ÉÃ×ÔÍ¶ÈëÉú²ú»òÕßÊ¹ÓÃµÄ£¬ÓÉÏØ¼¶ÒÔÉÏÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÔðÁîÏÞÆÚ¸ÄÕý£¬²¢¶Ôµ¥Î»ºÍ¸öÈË´¦ÒÔ·£¿î£»Ôì³ÉÖØ´ó»·¾³ÎÛÈ¾»òÕßÉúÌ¬ÆÆ»µµÄ£¬ÔðÁîÍ£Ö¹Éú²ú»òÕßÊ¹ÓÃ£¬»òÕß±¨¾­ÓÐÅú×¼È¨µÄÈËÃñÕþ¸®Åú×¼£¬ÔðÁî¹Ø±Õ¡£ [1] 
49,,,,,,Î¥·´±¾·¨¹æ¶¨£¬¾Ü±¨»òÕß»Ñ±¨¹æ¶¨µÄ»·¾³ÔëÉùÅÅ·ÅÉê±¨ÊÂÏîµÄ£¬ÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ¿ÉÒÔ¸ù¾Ý²»Í¬Çé½Ú£¬¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£
50,,,,,,Î¥·´±¾·¨µÚÊ®ÎåÌõµÄ¹æ¶¨£¬Î´¾­ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÅú×¼£¬ÉÃ×Ô²ð³ý»òÕßÏÐÖÃ»·¾³ÔëÉùÎÛÈ¾·ÀÖÎÉèÊ©£¬ÖÂÊ¹»·¾³ÔëÉùÅÅ·Å³¬¹ý¹æ¶¨±ê×¼µÄ£¬ÓÉÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÔðÁî¸ÄÕý£¬²¢´¦·£¿î¡£
51,,,,,,Î¥·´±¾·¨µÚÊ®ÁùÌõµÄ¹æ¶¨£¬²»°´ÕÕ¹ú¼Ò¹æ¶¨½ÉÄÉ³¬±ê×¼ÅÅÎÛ·ÑµÄ£¬ÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ¿ÉÒÔ¸ù¾Ý²»Í¬Çé½Ú£¬¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£
52,,,,,,Î¥·´±¾·¨µÚÊ®ÆßÌõµÄ¹æ¶¨£¬¶Ô¾­ÏÞÆÚÖÎÀíÓâÆÚÎ´Íê³ÉÖÎÀíÈÎÎñµÄÆóÒµÊÂÒµµ¥Î»£¬³ýÒÀÕÕ¹ú¼Ò¹æ¶¨¼ÓÊÕ³¬±ê×¼ÅÅÎÛ·ÑÍâ£¬¿ÉÒÔ¸ù¾ÝËùÔì³ÉµÄÎ£º¦ºó¹û´¦ÒÔ·£¿î£¬»òÕßÔðÁîÍ£Òµ¡¢°áÇ¨¡¢¹Ø±Õ¡£Ç°¿î¹æ¶¨µÄ·£¿îÓÉÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ¾ö¶¨¡£ÔðÁîÍ£Òµ¡¢°áÇ¨¡¢¹Ø±ÕÓÉÏØ¼¶ÒÔÉÏÈËÃñÕþ¸®°´ÕÕ¹úÎñÔº¹æ¶¨µÄÈ¨ÏÞ¾ö¶¨¡£
53,,,,,,Î¥·´±¾·¨µÚÊ®°ËÌõµÄ¹æ¶¨£¬Éú²ú¡¢ÏúÊÛ¡¢½ø¿Ú½ûÖ¹Éú²ú¡¢ÏúÊÛ¡¢½ø¿ÚµÄÉè±¸µÄ£¬ÓÉÏØ¼¶ÒÔÉÏÈËÃñÕþ¸®¾­¼Ã×ÛºÏÖ÷¹Ü²¿ÃÅÔðÁî¸ÄÕý£»Çé½ÚÑÏÖØµÄ£¬ÓÉÏØ¼¶ÒÔÉÏÈËÃñÕþ¸®¾­¼Ã×ÛºÏÖ÷¹Ü²¿ÃÅÌá³öÒâ¼û£¬±¨ÇëÍ¬¼¶ÈËÃñÕþ¸®°´ÕÕ¹úÎñÔº¹æ¶¨µÄÈ¨ÏÞÔðÁîÍ£Òµ¡¢¹Ø±Õ¡£
54,,,,,,Î¥·´±¾·¨µÚÊ®¾ÅÌõµÄ¹æ¶¨£¬Î´¾­µ±µØ¹«°²»ú¹ØÅú×¼£¬½øÐÐ²úÉúÅ¼·¢ÐÔÇ¿ÁÒÔëÉù»î¶¯µÄ£¬ÓÉ¹«°²»ú¹Ø¸ù¾Ý²»Í¬Çé½Ú¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£
55,,,,,,ÅÅ·Å»·¾³ÔëÉùµÄµ¥Î»Î¥·´±¾·¨µÚ¶þÊ®Ò»ÌõµÄ¹æ¶¨£¬¾Ü¾øÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ»òÕßÆäËûÒÀÕÕ±¾·¨¹æ¶¨ÐÐÊ¹»·¾³ÔëÉù¼à¶½¹ÜÀíÈ¨µÄ²¿ÃÅ¡¢»ú¹¹ÏÖ³¡¼ì²é»òÕßÔÚ±»¼ì²éÊ±ÅªÐé×÷¼ÙµÄ£¬ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ»òÕßÆäËûÒÀÕÕ±¾·¨¹æ¶¨ÐÐÊ¹»·¾³ÔëÉù¼à¶½¹ÜÀíÈ¨µÄ¼à¶½¹ÜÀí²¿ÃÅ¡¢»ú¹¹¿ÉÒÔ¸ù¾Ý²»Í¬Çé½Ú£¬¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£
56,,,,,,½¨ÖþÊ©¹¤µ¥Î»Î¥·´±¾·¨µÚÈýÊ®ÌõµÚÒ»¿îµÄ¹æ¶¨£¬ÔÚ³ÇÊÐÊÐÇøÔëÉùÃô¸Ð½¨ÖþµÄ¼¯ÖÐÇøÓòÄÚ£¬Ò¹¼ä½øÐÐ½ûÖ¹½øÐÐµÄ²úÉú»·¾³ÔëÉùÎÛÈ¾µÄ½¨ÖþÊ©¹¤×÷ÒµµÄ£¬ÓÉ¹¤³ÌËùÔÚµØÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÔðÁî¸ÄÕý£¬¿ÉÒÔ²¢´¦·£¿î¡£
57,,,,,,Î¥·´±¾·¨µÚÈýÊ®ËÄÌõµÄ¹æ¶¨£¬»ú¶¯³µÁ¾²»°´ÕÕ¹æ¶¨Ê¹ÓÃÉùÏì×°ÖÃµÄ£¬ÓÉµ±µØ¹«°²»ú¹Ø¸ù¾Ý²»Í¬Çé½Ú¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£»ú¶¯´¬²°ÓÐÇ°¿îÎ¥·¨ÐÐÎªµÄ£¬ÓÉ¸ÛÎñ¼à¶½»ú¹¹¸ù¾Ý²»Í¬Çé½Ú¸øÓè¾¯¸æ»òÕß´¦ÒÔ·£¿î¡£ÌúÂ·»ú³µÓÐµÚÒ»¿îÎ¥·¨ÐÐÎªµÄ£¬ÓÉÌúÂ·Ö÷¹Ü²¿ÃÅ¶ÔÓÐ¹ØÔðÈÎÈËÔ±¸øÓèÐÐÕþ´¦·Ö¡£
58,,,,,,Î¥·´±¾·¨¹æ¶¨£¬ÓÐÏÂÁÐÐÐÎªÖ®Ò»µÄ£¬ÓÉ¹«°²»ú¹Ø¸øÓè¾¯¸æ£¬¿ÉÒÔ²¢´¦·£¿î£º£¨Ò»£©ÔÚ³ÇÊÐÊÐÇøÔëÉùÃô¸Ð½¨ÖþÎï¼¯ÖÐÇøÓòÄÚÊ¹ÓÃ¸ßÒô¹ã²¥À®°È£»£¨¶þ£©Î¥·´µ±µØ¹«°²»ú¹ØµÄ¹æ¶¨£¬ÔÚ³ÇÊÐÊÐÇø½ÖµÀ¡¢¹ã³¡¡¢¹«Ô°µÈ¹«¹²³¡Ëù×éÖ¯ÓéÀÖ¡¢¼¯»áµÈ»î¶¯£¬Ê¹ÓÃÒôÏìÆ÷²Ä£¬²úÉú¸ÉÈÅÖÜÎ§Éú»î»·¾³µÄ¹ý´óÒôÁ¿µÄ£»£¨Èý£©Î´°´±¾·¨µÚËÄÊ®ÁùÌõºÍµÚËÄÊ®ÆßÌõ¹æ¶¨²ÉÈ¡´ëÊ©£¬´Ó¼ÒÍ¥ÊÒÄÚ·¢³öÑÏÖØ¸ÉÈÅÖÜÎ§¾ÓÃñÉú»îµÄ»·¾³ÔëÉùµÄ¡£
59,,,,,,Î¥·´±¾·¨µÚËÄÊ®ÈýÌõµÚ¶þ¿î¡¢µÚËÄÊ®ËÄÌõµÚ¶þ¿îµÄ¹æ¶¨£¬Ôì³É»·¾³ÔëÉùÎÛÈ¾µÄ£¬ÓÉÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÔðÁî¸ÄÕý£¬¿ÉÒÔ²¢´¦·£¿î¡£
60,,,,,,Î¥·´±¾·¨µÚËÄÊ®ËÄÌõµÚÒ»¿îµÄ¹æ¶¨£¬Ôì³É»·¾³ÔëÉùÎÛÈ¾µÄ£¬ÓÉ¹«°²»ú¹ØÔðÁî¸ÄÕý£¬¿ÉÒÔ²¢´¦·£¿î¡£Ê¡¼¶ÒÔÉÏÈËÃñÕþ¸®ÒÀ·¨¾ö¶¨ÓÉÏØ¼¶ÒÔÉÏµØ·½ÈËÃñÕþ¸®ÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅÐÐÊ¹Ç°¿î¹æ¶¨µÄÐÐÕþ´¦·£È¨µÄ£¬´ÓÆä¾ö¶¨¡£
61,,,,,,ÊÜµ½»·¾³ÔëÉùÎÛÈ¾Î£º¦µÄµ¥Î»ºÍ¸öÈË£¬ÓÐÈ¨ÒªÇó¼Óº¦ÈËÅÅ³ýÎ£º¦£»Ôì³ÉËðÊ§µÄ£¬ÒÀ·¨Åâ³¥ËðÊ§¡£Åâ³¥ÔðÈÎºÍÅâ³¥½ð¶îµÄ¾À·×£¬¿ÉÒÔ¸ù¾Ýµ±ÊÂÈËµÄÇëÇó£¬ÓÉÉúÌ¬»·¾³Ö÷¹Ü²¿ÃÅ»òÕßÆäËû»·¾³ÔëÉùÎÛÈ¾·ÀÖÎ¹¤×÷µÄ¼à¶½¹ÜÀí²¿ÃÅ¡¢»ú¹¹µ÷½â´¦Àí£»µ÷½â²»³ÉµÄ£¬µ±ÊÂÈË¿ÉÒÔÏòÈËÃñ·¨ÔºÆðËß¡£µ±ÊÂÈËÒ²¿ÉÒÔÖ±½ÓÏòÈËÃñ·¨ÔºÆðËß¡£
62,,,,,,»·¾³ÔëÉùÎÛÈ¾·ÀÖÎ¼à¶½¹ÜÀíÈËÔ±ÀÄÓÃÖ°È¨¡¢ÍæºöÖ°ÊØ¡¢áßË½Îè±×µÄ£¬ÓÉÆäËùÔÚµ¥Î»»òÕßÉÏ¼¶Ö÷¹Ü»ú¹Ø¸øÓèÐÐÕþ´¦·Ö£»¹¹³É·¸×ïµÄ£¬ÒÀ·¨×·¾¿ÐÌÊÂÔðÈÎ¡£
63,µÚ°ËÕÂ,,,,,±¾·¨ÖÐÏÂÁÐÓÃÓïµÄº¬ÒåÊÇ£º£¨Ò»£©¡°ÔëÉùÅÅ·Å¡±ÊÇÖ¸ÔëÉùÔ´ÏòÖÜÎ§Éú»î»·¾³·øÉäÔëÉù¡££¨¶þ£©¡°ÔëÉùÃô¸Ð½¨ÖþÎï¡±ÊÇÖ¸Ò½Ôº¡¢Ñ§Ð£¡¢»ú¹Ø¡¢¿ÆÑÐµ¥Î»¡¢×¡Õ¬µÈÐèÒª±£³Ö°²¾²µÄ½¨ÖþÎï¡££¨Èý£©¡°ÔëÉùÃô¸Ð½¨ÖþÎï¼¯ÖÐÇøÓò¡±ÊÇÖ¸Ò½ÁÆÇø¡¢ÎÄ½Ì¿ÆÑÐÇøºÍÒÔ»ú¹Ø»òÕß¾ÓÃñ×¡Õ¬ÎªÖ÷µÄÇøÓò¡££¨ËÄ£©¡°Ò¹¼ä¡±ÊÇÖ¸Íí¶þÊ®¶þµãÖÁ³¿ÁùµãÖ®¼äµÄÆÚ¼ä¡££¨Îå£©¡°»ú¶¯³µÁ¾¡±ÊÇÖ¸Æû³µºÍÄ¦ÍÐ³µ¡£
64,,,,,,±¾·¨×Ô1997Äê3ÔÂ1ÈÕÆðÊ©ÐÐ¡£1989Äê9ÔÂ26ÈÕ¹úÎñÔº·¢²¼µÄ¡¶ÖÐ»ªÈËÃñ¹²ºÍ¹ú»·¾³ÔëÉùÎÛÈ¾·ÀÖÎÌõÀý¡·Í¬Ê±·ÏÖ¹¡£
