,index,0,frequency,
88,法律,11678,0.001856109697069,
89,按,11660,0.001853248764156,
90,进行,11658,0.001852930882722,
91,保全,11550,0.001835765285249,
92,案件,11524,0.001831632826599,
93,法院,11493,0.001826705664361,
94,诉讼法,11428,0.001816374517734,
95,劳动合同,11406,0.001812877821953,
96,人民法院,11217,0.001782838026376,
97,损失,11010,0.001749937297887,
98,签订,10953,0.001740877676999,
99,确认,10914,0.001734678989023,
100,裁决,10582,0.001681910670867,
101,已,10441,0.001659500029722,
102,上诉,10385,0.001650599349551,
103,车辆,10249,0.001628983411993,
104,故,10245,0.001628347649124,
105,支持,10234,0.001626599301233,
106,上海,10220,0.00162437413119,
107,履行,10135,0.001610864170217,
108,但,10118,0.001608162178022,
109,委员会,9976,0.00158559259616,
110,范围,9919,0.001576532975272,
111,当事人,9908,0.001574784627381,
112,人,9893,0.001572400516621,
113,第一款,9801,0.001557777970626,
114,之,9796,0.001556983267039,
115,一案,9772,0.001553168689823,
116,诉讼,9748,0.001549354112607,
117,上诉人,9681,0.001538705084545,
118,提出,9435,0.00149960566808,
119,内向,9387,0.001491976513648,
120,天,9206,0.00146320824381,
121,受理,9189,0.001460506251615,
122,单位,9036,0.001436188321863,
123,作出,8951,0.001422678360889,
124,保险,8852,0.001406943229872,
125,委托,8825,0.001402651830504,
126,时,8805,0.001399473016158,
127,符合,8803,0.001399155134723,
128,所,8774,0.00139454585392,
129,约定,8736,0.001388506106661,
130,交强险,8605,0.00136768487269,
131,一,8603,0.001367366991255,
132,股份,8534,0.001356400081759,
133,条,8475,0.001347022579436,
134,职工,8297,0.00131873113175,
135,自,8277,0.001315552317403,
136,问题,8270,0.001314439732382,
137,如,8257,0.001312373503057,
138,均,8231,0.001308241044406,
139,诉讼请求,8164,0.001297592016344,
140,医院,8130,0.001292188031955,
141,某某,8079,0.001284082055371,
142,复议,8064,0.00128169794461,
143,原,8058,0.001280744300306,
144,聘用,7985,0.001269141627941,
145,被,7828,0.001244187935319,
147,二,7802,0.001240055476668,
148,限额,7757,0.001232903144388,
149,担保,7737,0.001229724330041,
150,相关,7560,0.001201591823072,
151,以,7543,0.001198889830878,
152,我,7535,0.001197618305139,
153,医疗费,7532,0.001197141482987,
154,认为,7515,0.001194439490792,
155,属于,7503,0.001192532202184,
156,费用,7493,0.001190942795011,
157,负担,7473,0.001187763980664,
158,也,7387,0.001174095078973,
159,存在,7311,0.001162015584455,
160,商业,7304,0.001160902999434,
161,查明,7269,0.001155340074327,
162,代理人,7246,0.001151684437828,
163,驳回,7245,0.001151525497111,
164,原审,7222,0.001147869860612,
165,部分,7221,0.001147710919895,
166,按照,7208,0.001145644690569,
167,协议,7183,0.001141671172636,
168,机动车,7144,0.00113547248466,
169,字,6907,0.001097803534651,
170,提交,6902,0.001097008831064,
171,中国,6697,0.00106442598401,
172,本院认为,6684,0.001062359754685,
173,生效,6660,0.001058545177468,
174,情况,6618,0.00105186966734,
175,人事,6615,0.001051392845188,
176,依据,6574,0.001044876275777,
177,无,6529,0.001037723943497,
178,驾驶,6512,0.001035021951302,
179,期限,6458,0.001026439152566,
180,财产保险,6323,0.001004982155726,
181,劳动人事,6293,0.001000213934206,
182,险,6267,0.000996081475555,
183,宁津县,6238,0.000991472194752,
184,鉴定,6234,0.000990836431883,
185,参加,6193,0.000984319862472,
186,上述,6184,0.000982889396016,
187,被上诉人,6124,0.000973352952975,
188,计算,6088,0.000967631087151,
189,标准,6078,0.000966041679978,
190,义务,6035,0.000959207229132,
191,合作,6031,0.000958571466263,
192,中心,6001,0.000953803244743,
193,纠纷,5960,0.000947286675332,
194,受理费,5900,0.000937750232292,
195,系,5836,0.000927578026382,
196,上,5772,0.000917405820473,
197,以下,5760,0.000915498531865,
198,同意,5753,0.000914385946843,
199,之间,5743,0.00091279653967,
200,而,5728,0.00091041242891,
201,收到,5726,0.000910094547475,
202,给,5709,0.00090739255528,
203,万元,5688,0.000904054800216,
204,事业单位,5679,0.00090262433376,
205,且,5672,0.000901511748739,
206,造成,5566,0.000884664032701,
207,伤残,5566,0.000884664032701,
208,处理,5528,0.000878624285442,
209,联社,5523,0.000877829581856,
210,农村信用,5513,0.000876240174682,
211,认可,5473,0.000869882545989,
212,经济,5463,0.000868293138815,
213,撤销,5445,0.000865432205903,
214,到,5414,0.000860505043666,
215,发放,5395,0.000857485170036,
216,人员,5336,0.000848107667713,
217,可,5290,0.000840796394716,
218,经审查,5289,0.000840637453999,
219,不能,5265,0.000836822876782,
220,个,5253,0.000834915588174,
221,给付,5237,0.000832372536697,
222,通知,5184,0.000823948678678,
223,住院,5175,0.000822518212222,
224,提起,5111,0.000812346006312,
225,其他,5104,0.000811233421291,
226,冻结,5103,0.000811074480574,
227,称,5087,0.000808531429096,
228,投保,5073,0.000806306259054,
229,办理,5059,0.000804081089011,
230,意见,5045,0.000801855918968,
231,辩称,4962,0.000788663839429,
232,终结,4946,0.000786120787952,
233,赔偿金,4917,0.000781511507149,
234,到庭,4896,0.000778173752085,
235,三,4830,0.000767683664741,
236,已经,4828,0.000767365783306,
237,无异议,4790,0.000761326036047,
238,从,4767,0.000757670399548,
239,鉴定费,4755,0.00075576311094,
240,用人单位,4741,0.000753537940898,
241,简称,4722,0.000750518067268,
242,时间,4719,0.000750041245116,
243,第一百五十四条,4705,0.000747816075073,
244,退休,4698,0.000746703490052,
245,就,4668,0.000741935268532,
246,实际,4668,0.000741935268532,
247,费,4628,0.000735577639838,
248,处,4627,0.000735418699121,
249,或,4595,0.000730332596166,
250,现已,4593,0.000730014714732,
251,管理,4592,0.000729855774014,
252,项,4578,0.000727630603972,
253,停止,4537,0.000721114034561,
254,受伤,4528,0.000719683568105,
255,逾期,4483,0.000712531235824,
256,共计,4480,0.000712054413672,
257,决定,4478,0.000711736532238,
258,转让,4476,0.000711418650803,
259,立即,4463,0.000709352421478,
260,适用法律,4419,0.000702359029915,
261,一次,4413,0.000701405385611,
262,最高人民法院,4398,0.000699021274851,
263,损害,4395,0.000698544452699,
264,作为,4377,0.000695683519787,
265,有关,4376,0.000695524579069,
266,裁定书,4359,0.000692822586875,
267,企业,4354,0.000692027883288,
268,若干,4350,0.000691392120419,
269,日至,4317,0.000686147076746,
270,人民币,4305,0.000684239788138,
271,补贴,4264,0.000677723218728,
272,劳动者,4247,0.000675021226533,
274,护理费,4224,0.000671365590034,
275,缴纳,4216,0.000670094064295,
276,交通费,4214,0.000669776182861,
277,判决书,4208,0.000668822538557,
278,全部,4162,0.000661511265559,
279,五日,4104,0.000652292703954,
280,年休假,4063,0.000645776134543,
281,零,4050,0.000643709905217,
282,出具,4048,0.000643392023783,
283,一条,4047,0.000643233083065,
284,第一百,4023,0.000639418505849,
285,真实性,3995,0.000634968165764,
286,因此,3980,0.000632584055004,
287,理由,3973,0.000631471469982,
288,三十日,3937,0.000625749604158,
289,诉前,3931,0.000624795959854,
290,股权,3928,0.000624319137702,
291,文件,3924,0.000623683374833,
292,公开,3912,0.000621776086225,
293,可自,3911,0.000621617145507,
294,人民,3883,0.000617166805422,
295,即,3849,0.000611762821032,
296,内容,3849,0.000611762821032,
297,可以,3845,0.000611127058163,
298,日起,3843,0.000610809176728,
299,一份,3835,0.00060953765099,
300,精神,3827,0.000608266125251,
301,手续,3815,0.000606358836643,
302,异议,3803,0.000604451548035,
303,适用,3799,0.000603815785166,
304,违反,3790,0.00060238531871,
305,开庭,3783,0.000601272733688,
306,金额,3727,0.000592372053517,
307,超过,3726,0.0005922131128,
311,裁决书,3662,0.00058204090689,
312,成立,3635,0.000577749507522,
313,补偿金,3619,0.000575206456045,
314,确定,3617,0.00057488857461,
315,陈述,3615,0.000574570693175,
316,对方,3606,0.000573140226719,
317,-,3602,0.00057250446385,
318,第四项,3587,0.00057012035309,
319,所有,3576,0.000568372005199,
320,另,3573,0.000567895183047,
321,前,3514,0.000558517680724,
322,综上,3505,0.000557087214268,
323,递交,3501,0.000556451451399,
324,发票,3491,0.000554862044226,
325,权利,3461,0.000550093822705,
326,一次性,3448,0.00054802759338,
327,或者,3421,0.000543736194012,
328,一审,3393,0.000539285853926,
329,利息,3377,0.000536742802449,
330,补助费,3373,0.00053610703958,
331,行为,3346,0.000531815640212,
332,死亡,3329,0.000529113648017,
333,医疗,3325,0.000528477885148,
334,误工费,3319,0.000527524240844,
335,司法鉴定,3317,0.000527206359409,
336,组成,3316,0.000527047418691,
337,中级,3297,0.000524027545062,
338,上诉状,3281,0.000521484493585,
339,现,3275,0.000520530849281,
340,员工,3275,0.000520530849281,
341,书面,3270,0.000519736145694,
342,待遇,3251,0.000516716272065,
343,道路,3225,0.000512583813414,
344,每月,3213,0.000510676524806,
345,对于,3198,0.000508292414046,
346,质证,3176,0.000504795718264,
347,合议庭,3176,0.000504795718264,
348,庭审,3169,0.000503683133243,
349,查封,3169,0.000503683133243,
350,股东,3141,0.000499232793157,
351,下,3134,0.000498120208136,
352,相应,3126,0.000496848682397,
353,调解,3125,0.00049668974168,
354,合法,3122,0.000496212919528,
355,十五日,3113,0.000494782453072,
356,人数,3110,0.00049430563092,
357,护理,3109,0.000494146690203,
358,年度,3085,0.000490332112987,
359,账户,3074,0.000488583765096,
360,其中,3037,0.000482702958554,
361,副本,3025,0.000480795669946,
362,亦,3017,0.000479524144208,
363,以上,3014,0.000479047322056,
364,合同法,3006,0.000477775796317,
365,答辩,3000,0.000476822152013,
366,抚慰金,2983,0.000474120159818,
367,以及,2975,0.000472848634079,
368,第三,2972,0.000472371811927,
369,辞退,2967,0.000471577108341,
370,解释,2965,0.000471259226906,
371,日止,2933,0.000466173123951,
372,月份,2920,0.000464106894626,
373,错误,2916,0.000463471131756,
374,安排,2907,0.0004620406653,
375,离职,2895,0.000460133376692,
376,判令,2864,0.000455206214455,
377,加班,2862,0.00045488833302,
378,营养费,2851,0.00045313998513,
379,伙食,2822,0.000448530704327,
380,工伤,2819,0.000448053882175,
381,债务,2810,0.000446623415719,
382,残疾,2807,0.000446146593567,
383,社会保险,2807,0.000446146593567,
384,是否,2782,0.000442173075633,
385,享受,2768,0.00043994790559,
386,同时,2756,0.000438040616982,
436,,,2754,0.000437722735548
438,二审,2743,0.000435974387657,
439,诉称,2738,0.00043517968407,
440,指定,2722,0.000432636632593,
442,证实,2718,0.000432000869724,
444,明确,2716,0.000431682988289,
445,保险合同,2660,0.000422782308118,
446,金钱,2649,0.000421033960227,
447,于本,2644,0.000420239256641,
448,经营,2633,0.00041849090875,
449,如果,2631,0.000418173027315,
450,过程,2624,0.000417060442294,
451,第三者,2617,0.000415947857273,
452,张,2617,0.000415947857273,
453,治疗,2588,0.00041133857647,
454,不足,2580,0.000410067050731,
455,终止,2575,0.000409272347144,
456,合理,2562,0.000407206117819,
458,通知书,2544,0.000404345184907,
459,岗位,2542,0.000404027303472,
460,四,2537,0.000403232599885,
461,赔付,2535,0.000402914718451,
462,起,2512,0.000399259081952,
464,协议书,2485,0.000394967682584,
465,新华,2453,0.000389881579629,
467,沪,2437,0.000387338528152,
468,新,2417,0.000384159713805,
469,采信,2406,0.000382411365914,
471,情形,2405,0.000382252425197,
472,律师费,2389,0.00037970937372,
473,审查,2371,0.000376848440807,
475,又,2367,0.000376212677938,
476,应予,2362,0.000375417974351,
477,时效,2362,0.000375417974351,
478,行驶,2359,0.000374941152199,
479,鲁,2351,0.000373669626461,
480,任何,2348,0.000373192804309,
481,支出,2348,0.000373192804309,
482,三条,2347,0.000373033863591,
483,仍,2345,0.000372715982157,
484,上班,2344,0.000372557041439,
485,变更,2343,0.000372398100722,
486,一年,2331,0.000370490812114,
487,某,2309,0.000366994116333,
488,王,2309,0.000366994116333,
489,主要,2304,0.000366199412746,
490,收取,2300,0.000365563649876,
492,无法,2287,0.000363497420551,
493,加倍,2276,0.00036174907266,
494,数额,2276,0.00036174907266,
495,本次,2275,0.000361590131943,
496,轿车,2273,0.000361272250508,
497,法定,2268,0.000360477546922,
499,住房,2264,0.000359841784052,
501,迟延,2259,0.000359047080466,
503,存款,2249,0.000357457673292,
504,日向,2242,0.000356345088271,
506,自己,2238,0.000355709325402,
507,不是,2227,0.000353960977511,
508,一直,2216,0.00035221262962,
509,刘,2212,0.000351576866751,
510,二百五十,2205,0.000350464281729,
511,李,2205,0.000350464281729,
512,仲裁委,2204,0.000350305341012,
513,程序,2197,0.000349192755991,
514,合计,2179,0.000346331823079,
515,项目,2158,0.000342994068015,
516,国家,2157,0.000342835127297,
518,对此,2153,0.000342199364428,
519,材料,2150,0.000341722542276,
520,强制保险,2147,0.000341245720124,
521,供暖费,2147,0.000341245720124,
522,有效,2141,0.00034029207582,
523,并未,2141,0.00034029207582,
524,差额,2135,0.000339338431516,
525,福利待遇,2127,0.000338066905777,
526,具体,2124,0.000337590083625,
527,不得,2116,0.000336318557886,
528,本人,2113,0.000335841735734,
529,法律依据,2111,0.0003355238543,
530,工作人员,2111,0.0003355238543,
531,交纳,2104,0.000334411269278,
532,仲裁法,2103,0.000334252328561,
533,票据,2101,0.000333934447126,
536,各项,2086,0.000331550336366,
537,部门,2086,0.000331550336366,
538,及其,2076,0.000329960929193,
539,期,2074,0.000329643047758,
540,给予,2067,0.000328530462737,
542,据此,2066,0.000328371522019,
543,休息,2056,0.000326782114846,
544,基本,2049,0.000325669529825,
546,垫付,2043,0.000324715885521,
547,过错,2043,0.000324715885521,
548,侵权,2040,0.000324239063369,
549,劳动法,2036,0.000323603300499,
550,复印件,2031,0.000322808596913,
552,按本,2009,0.000319311901131,
553,辞职,2007,0.000318994019697,
554,举证,2006,0.000318835078979,
555,具有,2003,0.000318358256827,
557,说明,1996,0.000317245671806,
558,酌情,1995,0.000317086731089,
559,产生,1988,0.000315974146067,
560,补偿,1977,0.000314225798176,
561,再,1971,0.000313272153872,
562,乙方,1969,0.000312954272438,
563,条例,1966,0.000312477450286,
564,继续,1958,0.000311205924547,
565,从事,1958,0.000311205924547,
568,撤回,1948,0.000309616517374,
569,通过,1948,0.000309616517374,
570,登记,1946,0.000309298635939,
571,北京,1936,0.000307709228766,
572,都,1935,0.000307550288048,
573,由于,1930,0.000306755584462,
574,各,1924,0.000305801940158,
575,过,1923,0.00030564299944,
576,领取,1919,0.000305007236571,
577,计,1910,0.000303576770115,
578,至今,1907,0.000303099947963,
579,诉,1907,0.000303099947963,
580,返还,1900,0.000301987362941,
581,调整,1899,0.000301828422224,
583,小型,1885,0.000299603252181,
584,条件,1879,0.000298649607877,
585,损害赔偿,1876,0.000298172785725,
586,违法,1875,0.000298013845008,
588,立案,1857,0.000295152912096,
589,报销,1857,0.000295152912096,
590,人身,1855,0.000294835030661,
592,办法,1853,0.000294517149227,
594,银行,1834,0.000291497275597,
595,包括,1827,0.000290384690576,
596,学校,1825,0.000290066809141,
597,自动,1818,0.00028895422412,
598,甲方,1815,0.000288477401968,
599,扣除,1812,0.000288000579816,
600,养老保险,1795,0.000285298587621,
601,财险,1790,0.000284503884034,
602,补助金,1789,0.000284344943317,
603,表示,1789,0.000284344943317,
604,律师,1780,0.000282914476861,
605,认定书,1780,0.000282914476861,
606,月工资,1780,0.000282914476861,
607,汽车,1777,0.000282437654709,
609,有限责任,1768,0.000281007188253,
610,事发,1752,0.000278464136775,
611,载明,1752,0.000278464136775,
612,个人,1746,0.000277510492471,
613,民初,1746,0.000277510492471,
614,绩效,1738,0.000276238966733,
615,再审,1732,0.000275285322429,
616,服务,1727,0.000274490618842,
617,意见书,1721,0.000273536974538,
618,工程,1717,0.000272901211669,
619,条款,1713,0.000272265448799,
620,结合,1702,0.000270517100909,
621,告知,1701,0.000270358160191,
622,民事判决,1695,0.000269404515887,
623,五,1692,0.000268927693735,
624,构成,1691,0.000268768753018,
625,房屋,1686,0.000267974049431,
626,社保,1683,0.000267497227279,
627,未能,1682,0.000267338286562,
628,正确,1679,0.00026686146441,
630,营养,1675,0.00026622570154,
631,份,1675,0.00026622570154,
632,收入,1670,0.000265430997954,
633,人事关系,1668,0.000265113116519,
634,第一,1665,0.000264636294367,
635,记录,1664,0.00026447735365,
636,款项,1660,0.00026384159078,
637,减半,1649,0.00026209324289,
638,经过,1642,0.000260980657868,
639,损失费,1635,0.000259868072847,
640,分别,1634,0.00025970913213,
641,属,1629,0.000258914428543,
642,超出,1627,0.000258596547108,
643,重新,1621,0.000257642902804,
644,道路交通,1618,0.000257166080652,
645,准许,1609,0.000255735614196,
646,案外人,1604,0.00025494091061,
647,固定,1597,0.000253828325588,
648,政策,1592,0.000253033622001,
649,还,1591,0.000252874681284,
650,诉至,1578,0.000250808451959,
651,平安,1574,0.000250172689089,
652,方式,1574,0.000250172689089,
653,比例,1571,0.000249695866937,
654,抵押,1571,0.000249695866937,
655,交警部门,1570,0.00024953692622,
656,上述事实,1567,0.000249060104068,
657,第三条,1565,0.000248742222633,
658,维持,1565,0.000248742222633,
659,告诉,1564,0.000248583281916,
660,第二条,1562,0.000248265400481,
661,机构,1560,0.000247947519047,
662,陈,1558,0.000247629637612,
664,社会,1553,0.000246834934025,
665,平均工资,1553,0.000246834934025,
666,直接,1550,0.000246358111873,
667,补发,1548,0.000246040230439,
668,第十六条,1543,0.000245245526852,
669,*,1542,0.000245086586135,
670,驳回上诉,1542,0.000245086586135,
671,导致,1541,0.000244927645417,
672,工伤保险,1536,0.000244132941831,
673,原因,1530,0.000243179297527,
674,研究所,1526,0.000242543534657,
675,共同,1514,0.000240636246049,
676,安全法,1510,0.00024000048318,
677,事项,1502,0.000238728957441,
678,过户,1496,0.000237775313137,
679,购买,1491,0.00023698060955,
680,非,1487,0.000236344846681,
681,生活,1486,0.000236185905964,
682,考核,1474,0.000234278617356,
683,需要,1469,0.000233483913769,
684,杨,1465,0.0002328481509,
685,出资,1465,0.0002328481509,
686,劳务,1462,0.000232371328748,
687,报告,1459,0.000231894506596,
688,两,1449,0.000230305099422,
689,评估,1446,0.00022982827727,
691,审判员,1441,0.000229033573683,
692,佐证,1440,0.000228874632966,
693,主体,1439,0.000228715692249,
694,诉讼费,1437,0.000228397810814,
695,简易程序,1433,0.000227762047945,
696,与其,1431,0.00022744416651,
697,＋,1427,0.000226808403641,
698,运输,1420,0.000225695818619,
699,带薪,1420,0.000225695818619,
700,加班费,1417,0.000225218996467,
701,XXX,1414,0.000224742174315,
702,不计,1411,0.000224265352163,
703,负,1409,0.000223947470729,
704,证人,1401,0.00022267594499,
705,采暖费,1397,0.000222040182121,
706,身份,1397,0.000222040182121,
707,致,1394,0.000221563359969,
709,厂,1390,0.000220927597099,
710,并无不当,1389,0.000220768656382,
711,缺乏,1388,0.000220609715665,
712,普通,1387,0.000220450774947,
713,太平洋,1387,0.000220450774947,
715,第二,1378,0.000219020308491,
716,价格,1369,0.000217589842035,
717,自行,1368,0.000217430901318,
718,青岛,1367,0.000217271960601,
719,应由,1364,0.000216795138448,
720,衣物,1359,0.000216000434862,
721,事故责任,1356,0.00021552361271,
722,使用,1351,0.000214728909123,
723,买卖,1351,0.000214728909123,
724,书,1345,0.000213775264819,
725,一致,1344,0.000213616324102,
726,无效,1341,0.00021313950195,
727,报酬,1340,0.000212980561232,
728,七日,1335,0.000212185857646,
729,实施,1335,0.000212185857646,
730,严重,1333,0.000211867976211,
731,支行,1326,0.00021075539119,
732,合同书,1324,0.000210437509755,
733,骨折,1316,0.000209165984016,
734,实行,1312,0.000208530221147,
735,相撞,1309,0.000208053398995,
737,多次,1302,0.000206940813974,
738,协商,1301,0.000206781873256,
739,基金,1300,0.000206622932539,
740,程度,1299,0.000206463991822,
741,该项,1297,0.000206146110387,
742,开始,1296,0.00020598716967,
743,享有,1296,0.00020598716967,
744,用工,1288,0.000204715643931,
745,第二款,1287,0.000204556703213,
746,关联性,1287,0.000204556703213,
747,签字,1281,0.000203603058909,
748,才,1278,0.000203126236757,
749,失业,1276,0.000202808355323,
750,保险人,1266,0.000201218948149,
751,之前,1265,0.000201060007432,
752,车牌号,1263,0.000200742125997,
753,知道,1260,0.000200265303845,
754,X,1259,0.000200106363128,
755,编制,1258,0.000199947422411,
756,曾,1258,0.000199947422411,
757,教师,1258,0.000199947422411,
758,真实,1256,0.000199629540976,
759,正常,1252,0.000198993778107,
760,拟,1249,0.000198516955955,
761,一辆,1240,0.000197086489499,
762,理赔,1238,0.000196768608064,
763,驾驶员,1237,0.000196609667347,
764,之后,1235,0.000196291785912,
765,合法权益,1229,0.000195338141608,
767,采纳,1227,0.000195020260173,
768,为此,1227,0.000195020260173,
769,路,1224,0.000194543438021,
770,预交,1221,0.000194066615869,
771,责任法,1217,0.000193430853,
772,津贴,1217,0.000193430853,
773,伤情,1217,0.000193430853,
774,涉案,1215,0.000193112971565,
775,负责,1214,0.000192954030848,
776,受损,1212,0.000192636149413,
777,未休,1210,0.000192318267979,
779,被保险人,1202,0.00019104674224,
780,小型汽车,1201,0.000190887801522,
781,改制,1201,0.000190887801522,
782,法律效力,1197,0.000190252038653,
783,生活费,1196,0.000190093097936,
784,医疗保险,1194,0.000189775216501,
785,燃油,1191,0.000189298394349,
786,诉请,1191,0.000189298394349,
787,/,1191,0.000189298394349,
788,肇事,1189,0.000188980512914,
789,款,1189,0.000188980512914,
790,当时,1189,0.000188980512914,
791,不再,1185,0.000188344750045,
792,承保,1185,0.000188344750045,
793,amp,1183,0.00018802686861,
794,能力,1178,0.000187232165024,
795,货车,1176,0.000186914283589,
796,达成,1175,0.000186755342872,
798,必须,1170,0.000185960639285,
799,民事裁定,1169,0.000185801698568,
800,订立,1169,0.000185801698568,
801,参照,1165,0.000185165935698,
802,后果,1164,0.000185006994981,
803,诊断,1163,0.000184848054264,
804,整合,1160,0.000184371232112,
805,分许,1157,0.00018389440996,
806,一方,1157,0.00018389440996,
807,视为,1155,0.000183576528525,
808,解决,1147,0.000182305002786,
809,奖金,1145,0.000181987121352,
810,行政,1145,0.000181987121352,
811,发展,1145,0.000181987121352,
812,出租汽车,1144,0.000181828180634,
813,社会保险费,1144,0.000181828180634,
814,补助,1143,0.000181669239917,
816,新疆,1137,0.000180715595613,
817,临沂,1135,0.000180397714178,
818,代理费,1135,0.000180397714178,
819,民事诉讼,1135,0.000180397714178,
820,拖欠,1132,0.000179920892026,
821,档案,1131,0.000179761951309,
822,承包,1130,0.000179603010591,
823,需,1130,0.000179603010591,
824,技术,1129,0.000179444069874,
825,分配,1126,0.000178967247722,
826,负有,1126,0.000178967247722,
827,双倍,1125,0.000178808307005,
828,投资,1123,0.00017849042557,
829,信用社,1122,0.000178331484853,
830,该证据,1121,0.000178172544135,
831,被告人,1120,0.000178013603418,
832,保险条款,1118,0.000177695721983,
833,故对,1117,0.000177536781266,
834,诉讼费用,1117,0.000177536781266,
835,自行车,1117,0.000177536781266,
836,影响,1114,0.000177059959114,
838,来,1113,0.000176901018397,
839,保险金,1110,0.000176424196245,
840,事实清楚,1103,0.000175311611223,
841,并非,1101,0.000174993729789,
842,等级,1100,0.000174834789071,
843,原则,1100,0.000174834789071,
844,牌号,1100,0.000174834789071,
845,保险单,1097,0.000174357966919,
848,出院,1092,0.000173563263333,
849,法定代表,1090,0.000173245381898,
850,人民政府,1090,0.000173245381898,
851,组织,1088,0.000172927500463,
852,维持原判,1084,0.000172291737594,
853,形成,1082,0.000171973856159,
854,损坏,1081,0.000171814915442,
855,资金,1071,0.000170225508269,
856,虽,1068,0.000169748686117,
857,补缴,1067,0.000169589745399,
858,担任,1064,0.000169112923247,
859,全额,1060,0.000168477160378,
860,业务,1056,0.000167841397509,
861,停薪留职,1055,0.000167682456791,
862,保险法,1054,0.000167523516074,
863,其余,1053,0.000167364575356,
864,充分,1053,0.000167364575356,
865,保,1052,0.000167205634639,
866,请,1044,0.0001659341089,
867,每天,1044,0.0001659341089,
868,结果,1043,0.000165775168183,
870,期满,1042,0.000165616227466,
871,交通警察,1040,0.000165298346031,
872,有权,1039,0.000165139405314,
873,调查,1038,0.000164980464596,
874,劳动报酬,1038,0.000164980464596,
875,重型,1038,0.000164980464596,
876,山东省,1036,0.000164662583162,
877,高,1036,0.000164662583162,
878,赔偿款,1034,0.000164344701727,
879,虽然,1033,0.00016418576101,
880,表,1030,0.000163708938858,
881,最低工资,1028,0.000163391057423,
882,甲,1028,0.000163391057423,
883,受,1026,0.000163073175988,
884,六,1026,0.000163073175988,
885,成都,1026,0.000163073175988,
886,小时,1026,0.000163073175988,
887,职务,1025,0.000162914235271,
888,误工,1024,0.000162755294554,
889,天数,1023,0.000162596353836,
890,形式,1020,0.000162119531684,
891,第四十九条,1020,0.000162119531684,
892,事业,1020,0.000162119531684,
893,营运,1017,0.000161642709532,
894,生产,1017,0.000161642709532,
895,足额,1013,0.000161006946663,
896,住院治疗,1012,0.000160848005946,
897,批准,1011,0.000160689065228,
898,领导,1010,0.000160530124511,
899,电动,1010,0.000160530124511,
900,共,1000,0.000158940717338,
901,制度,999,0.00015878177662,
902,完成,999,0.00015878177662,
903,=,999,0.00015878177662,
